millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
10364946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,319389.0,1603216209.25
10365945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,319490.0,1603216210.25
10366945.0,3.75,12.4,0.621,0.406,15.0,73.0,2.0,0.0,0.0,56.0,51.0,319591.0,1603216211.25
10367946.0,3.76,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,319692.0,1603216212.25
10368946.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,319793.0,1603216213.25
10369945.0,3.76,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,319894.0,1603216214.25
10370947.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,319995.0,1603216215.25
10371946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,320096.0,1603216216.25
10372945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,320197.0,1603216217.25
10373945.0,3.75,12.4,0.621,0.409,13.0,74.0,1.0,0.0,0.0,56.0,51.0,320298.0,1603216218.25
10374946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,320399.0,1603216219.25
10375946.0,3.75,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,320500.0,1603216220.25
10376945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,320601.0,1603216221.25
10377947.0,3.75,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,320702.0,1603216222.25
10378946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,320803.0,1603216223.25
10379948.0,3.68,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,320904.0,1603216224.26
10380945.0,3.75,12.4,0.621,0.397,17.0,74.0,1.0,0.0,0.0,56.0,51.0,321005.0,1603216225.25
10381948.0,3.7,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,321106.0,1603216226.26
10382948.0,3.73,12.4,0.621,0.406,17.0,73.0,2.0,0.0,0.0,56.0,51.0,321207.0,1603216227.26
10383945.0,3.75,12.4,0.621,0.409,12.0,74.0,1.0,0.0,0.0,56.0,51.0,321308.0,1603216228.25
10384947.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,321409.0,1603216229.25
10385946.0,3.76,12.4,0.621,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,321510.0,1603216230.25
10386946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,321611.0,1603216231.25
10387945.0,3.76,12.4,0.621,0.421,14.0,74.0,1.0,0.0,0.0,56.0,51.0,321712.0,1603216232.25
10388946.0,3.75,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,321813.0,1603216233.25
